GDPC,VABI,EMP,QOA,QOR,YUA,REST,EBSG,GGFC,LBGD,FDI,PC,ARP,CO2C,PAM,EUPC
1.0187296867370605,0.980128288269043,1.0129549503326416,1.0200070142745972,0.9803429245948792,1.0198191404342651,1.0199402570724487,0.980920672416687,1.0066148042678833,1.016586184501648,0.9800874590873718,1.0199376344680786,1.019848346710205,1.0199905633926392,0.9799889326095581,0.9799975156784058
1.023827075958252,0.9704670906066895,1.0090428590774536,1.030027985572815,0.9706388115882874,1.029421091079712,1.0298265218734741,0.9763872623443604,0.9997289180755615,1.0166696310043335,0.9701880216598511,1.0297926664352417,1.0296130180358887,1.0299938917160034,0.9699887633323669,0.9699681997299194
1.0223716497421265,0.9610554575920105,1.00241219997406,1.0400744676589966,0.9608727693557739,1.0382869243621826,1.038857102394104,0.9766882658004761,0.991775393486023,1.0118557214736938,0.9602196216583252,1.0393956899642944,1.039291501045227,1.0400257110595703,0.9599536657333374,0.9599394202232361
1.0172662734985352,0.9519640207290649,0.9946725964546204,1.0501562356948853,0.9510260224342346,1.0457229614257812,1.045108437538147,0.9802579879760742,0.9832648038864136,1.0050508975982666,0.950183093547821,1.0485343933105469,1.0489457845687866,1.0501028299331665,0.9498692154884338,0.9499331116676331
1.0104384422302246,0.9432916045188904,0.9863179922103882,1.060282826423645,0.9410975575447083,1.0510698556900024,1.0465762615203857,0.9857494235038757,0.9743852019309998,0.9972503781318665,0.9400796890258789,1.0568591356277466,1.0586371421813965,1.0602353811264038,0.9397382736206055,0.9399709105491638
1.0026729106903076,0.9351066946983337,0.9775871634483337,1.0704658031463623,0.9311084747314453,1.0533943176269531,1.0436670780181885,0.9921681880950928,0.9652504920959473,0.9888685345649719,0.9299090504646301,1.063491940498352,1.0683461427688599,1.070428490638733,0.9295938014984131,0.9303333163261414
0.9942677617073059,0.927557110786438,0.9685137271881104,1.0807135105133057,0.9210383296012878,1.0533190965652466,1.038366436958313,0.9993475079536438,0.9558522701263428,0.9800238609313965,0.9196639060974121,1.0679072141647339,1.0781550407409668,1.0806907415390015,0.919399619102478,0.9208797812461853
0.9853856563568115,0.9207741022109985,0.9591413736343384,1.091035008430481,0.9108773469924927,1.0514397621154785,1.0316122770309448,1.0071728229522705,0.94620680809021,0.9708036184310913,0.9093390107154846,1.069704294204712,1.0881047248840332,1.0910290479660034,0.9091317653656006,0.9115017652511597
0.9761249423027039,0.9148566126823425,0.9495059251785278,1.1014389991760254,0.9006182551383972,1.048264980316162,1.0238807201385498,1.015549659729004,0.9363352656364441,0.9612686038017273,0.8989291787147522,1.0688310861587524,1.0982099771499634,1.101449966430664,0.8987748622894287,0.9021142721176147
0.9665494561195374,0.9098702669143677,0.9396352171897888,1.1119333505630493,0.8902543783187866,1.0442368984222412,1.0154398679733276,1.0243803262710571,0.9262601733207703,0.9514625072479248,0.8884296417236328,1.0655980110168457,1.1084691286087036,1.1119601726531982,0.8883196115493774,0.8926519155502319
0.9567028880119324,0.9058650732040405,0.9295510649681091,1.1225253343582153,0.8797791600227356,1.0397875308990479,1.006455421447754,1.0335462093353271,0.9160043001174927,0.9414178729057312,0.8778339624404907,1.0604833364486694,1.1188716888427734,1.1225658655166626,0.8777603507041931,0.8830661773681641
0.9466160535812378,0.9028980135917664,0.9192700982093811,1.13322114944458,0.8691864609718323,1.0354197025299072,0.9970380663871765,1.0428463220596313,0.9055899977684021,0.9311597943305969,0.8671349287033081,1.0539427995681763,1.1294041872024536,1.1332728862762451,0.8670932650566101,0.8733236193656921
0.9363169074058533,0.9017828106880188,0.908829391002655,1.1436079740524292,0.8584789037704468,1.0361723899841309,0.9873537421226501,1.052064061164856,0.8952271938323975,0.920846164226532,0.8565026521682739,1.0467238426208496,1.1397241353988647,1.1440485715866089,0.8563982248306274,0.8635070323944092
0.9258124232292175,0.9024436473846436,0.8982216119766235,1.1537855863571167,0.8476473093032837,1.039945125579834,0.9773693084716797,1.0617039203643799,0.8849310874938965,0.9104627370834351,0.8459277749061584,1.0387777090072632,1.1500872373580933,1.1549221277236938,0.8456137180328369,0.8535719513893127
0.9151119589805603,0.9047638773918152,0.8874446749687195,1.1638433933258057,0.8366856575012207,1.0457038879394531,0.967089831829071,1.0716689825057983,0.8747321963310242,0.9000028371810913,0.8354175686836243,1.03014075756073,1.1605826616287231,1.1659111976623535,0.8347024321556091,0.8434848785400391
0.9042587280273438,0.9080395698547363,0.8765209913253784,1.1742045879364014,0.8256005048751831,1.0521390438079834,0.9566811919212341,1.078491449356079,0.8643541932106018,0.8893113732337952,0.8247023820877075,1.0209802389144897,1.171298861503601,1.1770271062850952,0.8237109184265137,0.8331443667411804
0.893238365650177,0.9122921228408813,0.8654378056526184,1.1848446130752563,0.8143799304962158,1.0594422817230225,0.9460760951042175,1.081662654876709,0.8538680672645569,0.8784156441688538,0.8138189315795898,1.0113389492034912,1.1822261810302734,1.1882745027542114,0.8126009702682495,0.8225631713867188
0.8820457458496094,0.9175015091896057,0.8541901707649231,1.1957387924194336,0.8030175566673279,1.0676366090774536,0.9352520108222961,1.0813841819763184,0.8433541655540466,0.8673433661460876,0.8027987480163574,1.0012718439102173,1.193352460861206,1.1996567249298096,0.8013505339622498,0.8117527961730957
0.8706799149513245,0.9236157536506653,0.8427769541740417,1.2068649530410767,0.7915098071098328,1.0766265392303467,0.9242039918899536,1.0782909393310547,0.8329085111618042,0.8561225533485413,0.7916659712791443,0.9908279180526733,1.2046667337417603,1.2111766338348389,0.7899468541145325,0.8007233142852783
0.8591419458389282,0.9305654168128967,0.8311991095542908,1.218204140663147,0.7798545956611633,1.0862764120101929,0.9129347801208496,1.0730472803115845,0.8226499557495117,0.8447824716567993,0.7804385423660278,0.9800472855567932,1.216160774230957,1.2228366136550903,0.7783831357955933,0.7894838452339172
0.8474339246749878,0.9382771849632263,0.8194584846496582,1.2297399044036865,0.7680507302284241,1.0964621305465698,0.9014507532119751,1.066179871559143,0.8127293586730957,0.8333549499511719,0.7691318392753601,0.9689623713493347,1.227829098701477,1.2346385717391968,0.7666564583778381,0.7780425548553467
0.8355583548545837,0.9466824531555176,0.807557225227356,1.2414582967758179,0.7560977935791016,1.1070884466171265,0.8897597789764404,1.0580706596374512,0.8033406734466553,0.8218758702278137,0.7577635049819946,0.9575990438461304,1.2396680116653442,1.2465837001800537,0.7547662854194641,0.7664068937301636
0.8235179781913757,0.955720067024231,0.7954975962638855,1.2533470392227173,0.7439957857131958,1.1180870532989502,0.8778696656227112,1.048992395401001,0.7947319746017456,0.8103870749473572,0.7463571429252625,0.945978045463562,1.2516752481460571,1.2586727142333984,0.7427131533622742,0.7545837163925171
