GDPC,GDPCG,VABI,EMP,PAG,QOA,QOR,YUA,GGAG,REST,CO2,EBSG,FDI,GGFC,LBGD,PC,ARP,ROL,GE,COC,RQ,SSB,PT,EUPC
0.980744481086731,1.019976019859314,1.0199048519134521,1.0137253999710083,1.005249261856079,1.0195379257202148,1.0136078596115112,1.01982581615448,1.0200119018554688,1.0200096368789673,0.9800465106964111,0.9799932837486267,0.9800925850868225,1.0198019742965698,1.019959568977356,1.0200046300888062,0.9799929857254028,0.9837630391120911,0.9799879789352417,1.0197854042053223,1.018516182899475,0.9802547693252563,1.0100435018539429,0.9807727932929993
0.9714273810386658,1.02992844581604,1.029698133468628,1.0097477436065674,0.9979036450386047,1.0278944969177246,1.0098787546157837,1.0290647745132446,1.0300456285476685,1.0300415754318237,0.9701529741287231,0.9699621200561523,0.9705818891525269,1.0292816162109375,1.0299594402313232,1.0300315618515015,0.9699673652648926,0.9854371547698975,0.969994068145752,1.0286352634429932,1.0227737426757812,0.9704940915107727,1.0042558908462524,0.9722155332565308
0.9619577527046204,1.0398898124694824,1.0394165515899658,1.0031147003173828,0.9896354675292969,1.0346349477767944,1.003438115119934,1.0366160869598389,1.04011070728302,1.0401029586791992,0.9603155255317688,0.9599049091339111,0.9621527194976807,1.0384461879730225,1.0399757623672485,1.0400924682617188,0.9599170088768005,0.9909635186195374,0.9600231647491455,1.0343989133834839,1.02219557762146,0.9606496691703796,0.9967909455299377,0.9632211923599243
0.9523465037345886,1.0498884916305542,1.049107313156128,0.9953174591064453,0.9808518290519714,1.039951205253601,0.9957343935966492,1.0408275127410889,1.0502160787582397,1.0501989126205444,0.9505277276039124,0.9498105645179749,0.9557154774665833,1.0473605394363403,1.049956202507019,1.0501853227615356,0.949836790561676,0.9981445670127869,0.9500470757484436,1.0351285934448242,1.0183568000793457,0.9507186412811279,0.9885329008102417,0.9539874196052551
0.9426398873329163,1.059931993484497,1.0587913990020752,0.9868770241737366,0.9717358946800232,1.046785593032837,0.9872913956642151,1.0408086776733398,1.0603703260421753,1.0603317022323608,0.9407854080200195,0.9396713376045227,0.9518007040023804,1.0560284852981567,1.059926152229309,1.0603022575378418,0.9397150874137878,1.0062296390533447,0.9400153160095215,1.0317862033843994,1.01248300075531,0.9407190680503845,0.979806125164032,0.9448408484458923
0.9328344464302063,1.0700258016586304,1.0684897899627686,0.9780009984970093,0.9623642563819885,1.0545824766159058,0.9783549904823303,1.0376110076904297,1.0705816745758057,1.0705217123031616,0.931094765663147,0.9294750094413757,0.9505933523178101,1.0644376277923584,1.0699107646942139,1.0704494714736938,0.929543673992157,1.014891505241394,0.9299055337905884,1.026147484779358,1.005333662033081,0.9306524395942688,0.9707344770431519,0.9356107711791992
0.9229578375816345,1.0801408290863037,1.078163504600525,0.9688234329223633,0.9528018236160278,1.0620275735855103,0.9690898656845093,1.0322418212890625,1.0808583498001099,1.0807801485061646,0.9214587807655334,0.9192191958427429,0.9517040848731995,1.0722942352294922,1.079996109008789,1.0806394815444946,0.9193040728569031,1.0239636898040771,0.9197072386741638,1.0191313028335571,0.9973151683807373,0.9205359816551208,0.9614112973213196,0.9262443780899048
0.9129811525344849,1.0902494192123413,1.087784767150879,0.9593865871429443,0.9430633187294006,1.0701074600219727,0.9595791101455688,1.0254848003387451,1.0912079811096191,1.0911123752593994,0.9118854403495789,0.9088936448097229,0.954852819442749,1.079215407371521,1.0901950597763062,1.0908966064453125,0.9089868068695068,1.0333396196365356,0.9094196557998657,1.011215329170227,0.9886878132820129,0.9103509187698364,0.9518608450889587,0.9166564345359802
0.9029062986373901,1.1002638339996338,1.0972607135772705,0.949735164642334,0.9331700801849365,1.0783932209014893,0.9498942494392395,1.0177570581436157,1.1016379594802856,1.1015177965164185,0.9023704528808594,0.8984976410865784,0.9596050381660461,1.0843899250030518,1.1004794836044312,1.1012370586395264,0.8985824584960938,1.042962908744812,0.8990426063537598,1.0026594400405884,0.9796220660209656,0.9000942707061768,0.9421159625053406,0.9068552851676941
0.8927050232887268,1.1101195812225342,1.1065607070922852,0.9398738741874695,0.9231165647506714,1.0871943235397339,0.9400346875190735,1.009324312210083,1.1121553182601929,1.1119788885116577,0.8929116725921631,0.8880188465118408,0.9656943082809448,1.0872803926467896,1.1108181476593018,1.1116762161254883,0.8880855441093445,1.0527915954589844,0.8885684609413147,0.9936080574989319,0.9701967835426331,0.8897401094436646,0.9321774840354919,0.8968392014503479
