,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,PR,DI,SOARS,TOGP,PTIP,QOES,AOLT,FLTA,EBOF,FOWD,QOMS,CLER,WTDA,DBP,DBD,SSB,DWCP,PMSI,PT,EC
7,2007,0.41,0.36,0.28,0.77,0.88,42.0,0.957,0.959,48.6,50,7.12,4.38,3.22,2.26,3.97,3.92,4.51,4.17,4.99,4.41,4.0,3.93,11.0,45.0,58.940543867283,50.164066731324,60.0,51.654725525605,56.84781205628
8,2008,0.55,0.46,0.45,0.84,0.95,46.0,0.979,0.963,53.1,50,7.3,4.59,2.98,1.88,3.8,4.38,4.66,4.54,5.57,4.51,3.86,3.69,11.0,45.0,59.448350041875,54.284357885479,60.0,51.550416429655,56.84781205628
9,2009,0.65,0.52,0.44,0.98,1.03,50.0,0.979,0.963,59.0,50,7.12,4.89,3.13,2.08,4.06,4.54,4.81,4.5,5.58,4.47,4.11,3.88,11.0,45.0,61.376662263652,54.635952874437,60.0,50.682654534006,56.84781205628
10,2010,0.71,0.63,0.51,1.02,1.04,53.0,0.978,0.964,62.3,55,7.05,5.12,3.71,2.49,3.83,4.65,4.59,4.2,5.38,4.23,4.1,4.0,7.0,39.0,78.465629533865,54.834479018019,60.0,53.32365505807,56.84781205628
11,2011,0.79,0.6,0.56,0.96,1.03,55.0,0.978,0.964,62.0,60,7.12,5.2,3.99,2.5,3.68,4.62,4.35,4.14,5.32,4.03,4.0,3.85,7.0,39.0,78.541562919198,54.910657329435,60.0,63.90122473278,56.84781205628
12,2012,0.82,0.66,0.66,1.0,1.06,58.0,0.978,0.964,62.3,60,7.12,5.19,3.84,2.41,3.67,4.56,4.23,4.17,5.36,3.97,4.1,3.72,7.0,39.0,78.623297416329,66.03972558924,60.0,65.669944361901,56.84781205628
13,2013,0.84,0.66,0.65,1.05,1.0,60.0,0.975,0.961,62.8,60,7.12,4.97,3.59,2.35,3.44,4.43,4.15,4.08,5.43,3.96,4.13,3.77,7.0,39.0,79.040430318391,55.81153990465566,60.0,72.179181254574,56.84781205628
