,22
ROL,1.43
GE,1.34
COC,1.54
RQ,1.56
VAA,1.2
CPI,74.0
FOP,0.966
JI,0.969
IUI,91.5
CFI,50.2
PR,92.0
DI,7.96
EDBS,80.8097924127336
DBP,3.0
DBD,5.5
SSB,94.6891662830496
DWCP,82.5105308017136
PMSI,58.0
PT,89.3318543610236
EC,77.5713623228792
ELFE,10.8
