,22
ROL,1.96
GE,1.75
COC,2.25
RQ,1.78
VAA,1.61
CPI,87.0
FOP,0.979
JI,0.976
IUI,93.0
CFI,56.9
PR,100.0
DI,9.29
EDBS,79.9337655360844
DBP,3.0
DBD,16.2
SSB,92.61501335357579
DWCP,73.4212310469114
PMSI,62.0
PT,90.4438506084734
EC,66.397984404955
ELFE,8.4
