,22
ROL,1.06
GE,0.99
COC,0.75
RQ,1.3
VAA,1.07
CPI,62.0
FOP,0.912
JI,0.957
IUI,87.7
CFI,37.4
PR,89.0
DI,7.31
EDBS,80.291279884067
DBP,4.0
DBD,5.5
SSB,93.08379425064498
DWCP,82.62457642599861
PMSI,66.4
PT,87.304993589135
EC,78.80244477637
ELFE,4.8
