,22
ROL,0.43
GE,0.26
COC,0.51
RQ,0.72
VAA,0.6
CPI,55.0
FOP,0.616
JI,0.57
IUI,86.9
CFI,37.5
PR,72.0
DI,7.04
EDBS,76.2007332262943
DBP,5.0
DBD,37.0
SSB,82.72657301401887
DWCP,76.31602683870814
PMSI,66.0
PT,76.51657212502941
EC,63.900320178557
ELFE,4.7
