,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,CFI,PR,DI,EDBS,DBP,DBD,SSB,DWCP,PMSI,PT,EC,ELFE
16,2016,1.0,1.03,0.68,1.12,1.0,59.0,0.948,0.974,74.4,41.8,65,7.47,78.996604564176,4.0,5.5,92.931331733474,79.315018869747,64.0,85.480409149,78.80244477637,4.8
17,2017,0.96,0.93,0.52,1.15,0.99,59.0,0.893,0.972,77.6,41.2,73,7.41,79.221080207652,4.0,5.5,92.984744091709,79.323841783044,64.0,85.497006103916,78.80244477637,5.4
18,2018,0.92,1.03,0.47,1.09,0.9,59.0,0.91,0.967,79.7,40.166666666666664,74,7.5,80.641847485891,4.0,5.5,93.053500161956,84.759393499681,66.0,87.887522095234,78.80244477637,4.6
19,2019,0.99,1.01,0.67,1.15,0.99,60.0,0.91,0.967,81.6,41.5,74,7.5,80.967167541216,4.0,5.5,93.175686141682,84.854330721991,68.0,88.744373450497,78.80244477637,4.0
20,2020,0.95,1.01,0.78,1.08,1.0,60.0,0.905,0.967,83.1,39.2,78,7.13,81.6296996214,4.0,5.5,93.273709124404,84.87029725553,70.0,88.915657147028,78.80244477637,5.6
21,2021,1.07,1.02,0.82,1.27,1.03,61.0,0.912,0.969,86.9,39.9,79,7.18,80.291279884067,4.0,5.5,93.08379425064498,82.62457642599861,66.4,87.304993589135,78.80244477637,5.3
22,2022,1.06,0.99,0.75,1.3,1.07,62.0,0.912,0.957,87.7,37.4,89,7.31,80.291279884067,4.0,5.5,93.08379425064498,82.62457642599861,66.4,87.304993589135,78.80244477637,4.8
