,22
ROL,1.53
GE,1.29
COC,1.82
RQ,1.52
VAA,1.41
CPI,79.0
FOP,0.952
JI,0.919
IUI,91.6
CFI,57.2
PR,96.0
DI,8.8
EDBS,79.090639123849
DBP,9.0
DBD,13.1
SSB,82.2330455617042
DWCP,78.1471312496568
PMSI,60.8
PT,82.1803460496464
EC,71.2441204412292
ELFE,12.5
