,13
ROL,0.84
GE,0.66
COC,0.65
RQ,1.05
VAA,1.0
CPI,60.0
FOP,0.975
JI,0.961
IUI,62.8
PR,60.0
DI,7.12
SOARS,4.97
TOGP,3.59
PTIP,2.35
QOES,3.44
AOLT,4.43
FLTA,4.15
EBOF,4.08
FOWD,5.43
QOMS,3.96
CLER,4.13
WTDA,3.77
DBP,7.0
DBD,39.0
SSB,79.040430318391
DWCP,70.275720465996
PMSI,60.0
PT,72.179181254574
EC,64.976227356826
