,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,PR,DI,SOARS,TOGP,PTIP,QOES,AOLT,FLTA,EBOF,FOWD,QOMS,CLER,WTDA,DBP,DBD,SSB,DWCP,PMSI,PT,EC
7,2007,2.0,2.35,2.43,1.93,1.48,94.0,0.992,0.989,85.0,90,9.52,6.17,5.93,5.99,5.79,6.35,6.02,6.46,4.53,5.63,6.32,6.08,5.0,6.5,89.82248043446,91.587769901362,63.333333333333,89.50923139204,69.613928894134
8,2008,1.95,2.24,2.38,1.87,1.54,93.0,0.992,0.989,85.0,90,9.52,6.03,5.82,6.21,5.81,6.51,6.2,6.47,4.32,5.63,6.22,6.05,5.0,6.5,90.069127603328,91.588822262616,63.333333333333,89.265889625488,69.613928894134
9,2009,1.92,2.23,2.44,1.88,1.54,93.0,0.992,0.989,86.8,95,9.52,5.85,5.8,6.11,5.69,6.43,6.14,6.58,4.41,5.64,5.98,5.9,5.0,6.5,90.102783494722,91.588965861086,63.333333333333,90.55865045617,69.613928894134
10,2010,1.9,2.1,2.35,1.87,1.54,93.0,0.992,0.989,88.7,90,9.52,5.66,5.63,5.42,5.32,6.36,6.0,6.5,4.5,5.41,5.72,5.8,5.0,6.5,90.196050935943,91.589363802169,63.333333333333,90.980440431731,69.613928894134
11,2011,1.92,2.1,2.39,1.9,1.55,94.0,0.991,0.989,89.8,90,9.52,5.7,5.7,5.4,5.03,6.46,5.99,6.73,4.17,5.22,5.94,6.05,5.0,6.0,91.11212688302,91.588839713969,63.333333333333,91.037841705038,68.794256762987
12,2012,1.88,1.99,2.38,1.8,1.67,90.0,0.992,0.989,92.3,90,9.52,5.27,4.67,4.69,4.95,6.22,5.84,6.4,4.64,5.08,5.95,6.16,5.0,6.0,91.17098335234,91.589232090431,63.333333333333,91.68040528937,68.794256762987
13,2013,1.9,1.94,2.4,1.8,1.67,91.0,0.992,0.989,94.6,90,9.38,5.15,4.34,4.52,4.86,5.9,5.72,6.15,4.82,5.15,5.84,6.01,5.0,6.0,91.198876357885,91.589586832748,63.333333333333,91.832347540767,68.794256762987
14,2014,2.1,1.78,2.25,1.68,1.52,92.0,0.992,0.989,96.0,90,9.11,5.51,4.49,4.7,4.81,5.81,5.71,6.23,4.55,5.21,5.96,6.1,5.0,6.0,91.219460741691,91.58894006634014,63.333333333333016,91.834964794779,69.15049158387313
15,2015,2.02,1.79,2.19,1.72,1.55,91.0,0.992,0.989,96.3,95,9.11,5.69,4.77,4.87,4.89,5.97,5.71,6.2,4.4,5.35,6.06,6.1,5.0,6.0,91.802316421421,91.58894006634014,63.333333333333016,91.834964794779,68.365446805488
