,22
ROL,0.92
GE,0.69
COC,0.69
RQ,1.17
VAA,0.94
CPI,59.0
FOP,0.938
JI,0.945
IUI,91.0
CFI,36.5
PR,89.0
DI,7.37
EDBS,80.105599186521
DBP,4.0
DBD,5.5
SSB,94.117799390906
DWCP,73.43277133162022
PMSI,68.0
PT,89.6706718564822
EC,72.7664847904942
ELFE,6.7
