,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,PR,DI,SOARS,TOGP,PTIP,QOES,AOLT,FLTA,EBOF,FOWD,QOMS,CLER,WTDA,DBP,DBD,SSB,DWCP,PMSI,PT,EC
7,2007,0.69,0.66,0.1,1.01,0.89,48.0,0.962,0.964,49.9,50,7.24,5.05,4.18,2.75,4.07,4.33,5.09,4.39,5.9,4.44,4.54,3.98,7.0,26.0,81.367723957015,75.539487690959,50.0,79.20774472931,77.271251698046
8,2008,0.68,0.56,0.11,1.04,0.85,46.0,0.962,0.964,55.2,50,7.36,5.0,4.11,2.7,3.66,5.04,5.03,4.32,5.91,4.35,4.55,4.03,7.0,26.0,81.503459908765,75.571061302223,50.0,79.492010429033,77.271251698046
9,2009,0.72,0.69,0.23,0.95,0.9,49.0,0.967,0.964,59.8,50,7.24,5.13,4.24,2.12,3.46,5.25,4.82,4.08,5.92,4.21,4.5,3.93,7.0,26.0,82.186109471569,75.888508435718,50.0,79.791756736811,77.271251698046
10,2010,0.78,0.74,0.37,0.96,0.92,50.0,0.97,0.97,62.1,55,7.24,5.14,4.59,2.05,3.68,5.64,5.01,3.86,5.92,4.16,4.38,3.85,7.0,26.0,82.520151442472,75.934847385221,50.0,80.789148402894,74.812235304603
11,2011,0.77,0.7,0.32,0.93,0.86,48.0,0.966,0.97,63.6,60,7.24,5.0,4.59,2.04,3.8,5.71,5.02,3.83,5.97,4.2,4.27,3.76,6.0,22.0,84.636537376794,75.872410533319,50.0,80.127684364775,74.812235304603
12,2012,0.84,0.83,0.39,1.12,0.93,54.0,0.966,0.97,67.2,60,7.24,4.96,4.58,2.13,3.97,5.74,5.01,4.01,5.9,4.33,4.3,3.78,6.0,22.0,84.670001223284,77.991191749605,56.666666666667,81.101555883641,74.812235304603
13,2013,0.83,0.83,0.42,1.15,0.94,57.0,0.957,0.974,68.5,60,7.54,4.86,4.65,2.4,3.95,5.68,5.21,4.26,5.92,4.37,4.25,3.91,7.0,19.5,84.317188198773,76.1329178495075,56.666666666667,81.028515439346,72.899666998592
