,20
ROL,1.81
GE,1.84
COC,2.24
RQ,1.79
VAA,1.51
CPI,88.0
FOP,0.988
JI,0.987
IUI,96.5
CFI,57.5
PR,86.0
DI,9.15
EDBS,85.225742257046
DBP,5.0
DBD,6.0
SSB,91.86901696983061
DWCP,86.94028690369245
PMSI,72.0
PT,91.142196781168
EC,73.921002361044
ELFE,9.3
