,20
ROL,0.95
GE,1.01
COC,0.78
RQ,1.08
VAA,1.0
CPI,60.0
FOP,0.905
JI,0.967
IUI,83.1
CFI,39.2
PR,78.0
DI,7.13
EDBS,81.6296996214
DBP,4.0
DBD,5.5
SSB,93.273709124404
DWCP,84.87029725553
PMSI,70.0
PT,88.915657147028
EC,78.80244477637
ELFE,5.6
