,13
ROL,1.9
GE,1.94
COC,2.4
RQ,1.8
VAA,1.67
CPI,91.0
FOP,0.992
JI,0.989
IUI,94.6
PR,90.0
DI,9.38
SOARS,5.15
TOGP,4.34
PTIP,4.52
QOES,4.86
AOLT,5.9
FLTA,5.72
EBOF,6.15
FOWD,4.82
QOMS,5.15
CLER,5.84
WTDA,6.01
DBP,5.0
DBD,6.0
SSB,91.198876357885
DWCP,91.589586832748
PMSI,63.333333333333
PT,91.832347540767
EC,68.794256762987
