,20
ROL,1.34
GE,1.3
COC,1.58
RQ,1.53
VAA,1.17
CPI,75.0
FOP,0.968
JI,0.933
IUI,89.1
CFI,48.3
PR,83.0
DI,7.84
EDBS,80.74585797369
DBP,3.0
DBD,5.5
SSB,94.857377938405
DWCP,82.552116589401
PMSI,58.0
PT,89.909582525243
EC,77.916319203269
ELFE,8.5
