,13
ROL,1.19
GE,0.97
COC,1.18
RQ,1.44
VAA,1.12
CPI,68.0
FOP,0.976
JI,0.955
IUI,80.0
PR,85.0
DI,7.61
SOARS,5.47
TOGP,5.02
PTIP,3.5
QOES,4.14
AOLT,5.76
FLTA,5.38
EBOF,4.8
FOWD,6.05
QOMS,4.48
CLER,4.94
WTDA,4.48
DBP,5.0
DBD,8.5
SSB,90.522324749583
DWCP,85.428312905258
PMSI,56.666666666667
PT,84.94817878439562
EC,68.759373828271
