,TIME_PERIOD,ROL,GE,COC,RQ,VAA,CPI,FOP,JI,IUI,CFI,PR,DI,EDBS,DBP,DBD,SSB,DWCP,PMSI,PT,EC,ELFE
14,2014,1.98,1.68,2.11,1.81,1.61,87.0,0.976,0.978,92.5,62.3,90,9.73,80.978515516789,3.0,16.0,92.275828901156,77.80709633998516,72.0,84.9770440759965,67.609776236987,7.300000000000001
15,2015,1.99,1.68,2.15,1.8,1.57,89.0,0.974,0.974,90.6,62.4,90,9.45,81.394674421705,3.0,16.0,92.291099914425,77.477318159817,72.0,83.459378219594,67.609776236987,7.0
16,2016,1.95,1.66,2.11,1.84,1.57,88.0,0.973,0.974,89.7,63.6,90,9.39,81.632083049142,3.0,7.0,94.612285829081,77.680731942764,72.0,85.281397543646,67.609776236987,7.4
17,2017,1.82,1.68,2.1,1.79,1.57,84.0,0.973,0.974,93.0,63.8,89,9.39,82.150711595811,3.0,7.0,94.64026781946,77.775788410079,72.0,85.279350963147,67.609776236987,7.7
18,2018,1.78,1.67,2.11,1.83,1.58,85.0,0.964,0.974,89.2,63.1,93,9.39,82.174909544016,3.0,7.0,94.668856948905,77.891382206388,72.0,85.279350963147,67.609776236987,7.5
19,2019,1.79,1.67,2.09,1.79,1.56,85.0,0.964,0.974,94.5,63.7,90,9.39,82.018478574585,4.0,7.5,93.089837759894,77.972100115405,72.0,85.279350963147,67.609776236987,6.5
20,2020,1.77,1.67,2.09,1.68,1.5,85.0,0.962,0.974,94.5,62.5,89,9.26,81.55856379716,4.0,7.5,93.111728425739,78.045257205458,72.0,85.283435803298,67.609776236987,7.7
