,From,To,Weight
41,PDPS,EUPC,4.240019130109752
30,PDPS,VABI,3.8201734351188903
19,EIAP,GGFC,2.944303738526276
56,LTU,LFG,2.8870984808403857
12,QOA,EMP,2.812680995866742
65,CPI,VABI,2.679125247358949
26,EIAP,COC,2.607555926541103
72,CPI,COC,2.5507900942795083
16,QOA,EUPC,2.0414947125286256
63,CPI,EIAP,1.9945905021239403
74,CPI,EUPC,1.9882817462809297
17,EIAP,PGP,1.9094554982564642
9,QOA,GGFC,1.8671838802338847
2,FDI,GDPC,1.85647756830286
37,PDPS,EMP,1.7440706848208873
59,FEM,COC,1.6424964926569694
20,EIAP,GDPCG,1.6309323315389614
75,ROL,FEM,1.5846793508997856
73,CPI,VAA,1.5342482829276685
7,QOA,FDI,1.4999954668365423
54,LTU,EMP,1.3429744352089275
11,QOA,EBSG,1.3390761691895723
4,FDI,LTU,1.3332874641065073
21,EIAP,EBSG,1.281370155981421
44,EBSG,EII,1.271016805606956
40,PDPS,VAA,1.2443525475004935
43,EII,EUPC,1.1975847271675824
25,EIAP,EPFRG,1.1912468209402252
23,EIAP,EIS,1.1752271983041305
22,EIAP,GDPC,1.159096030901577
31,PDPS,GCFP,1.1466208284516874
55,LTU,FEM,1.119997445078115
1,FDI,GDPCG,1.1063733536892315
46,GDPC,GDPCG,1.080256278585102
62,LFG,EMP,1.0229275732444036
68,CPI,LTU,1.0000742331404
27,PDPS,QOA,0.9999707577541971
28,PDPS,EIAP,0.9983756705109158
0,FDI,EIAP,0.9927203568505271
49,LTU,VABI,0.9584922427034092
42,GGFC,LFG,0.8998408926140281
6,FDI,COC,0.8743444576606856
50,LTU,GCFP,0.8673898374245582
76,ROL,GGAG,0.8363510994206977
47,EIS,GCFP,0.8088885137279589
60,LFG,GDPCG,-0.855817207012559
14,QOA,COC,-0.8590237628053261
58,LTU,VAA,-0.8907661387678316
8,QOA,EIAP,-0.9938992260876794
13,QOA,LTU,-0.9999920055383692
48,LTU,PGP,-1.0681393118036653
52,LTU,GDPCG,-1.1717206135737295
77,ROL,COC,-1.2323430762095153
64,CPI,PGP,-1.3326009610215344
15,QOA,VAA,-1.402868781236417
61,LFG,GDPC,-1.4566156745813297
5,FDI,LFG,-1.5159240763132587
38,PDPS,LFG,-1.643304901981264
67,CPI,EIS,-1.6692668336706078
24,EIAP,EMP,-1.7048787596569142
34,PDPS,EII,-1.7816507299494992
45,EBSG,EUPC,-1.7840337079121862
36,PDPS,EIS,-1.8438432657066208
66,CPI,GGFC,-1.8648566623574494
29,PDPS,PGP,-1.9415281481308364
3,FDI,EMP,-1.9998238943685676
53,LTU,EBSG,-2.1239576567838916
18,EIAP,VABI,-2.1347969484003624
69,CPI,FEM,-2.150989749477418
33,PDPS,GDPCG,-2.336230464619611
35,PDPS,GDPC,-2.512133610494456
10,QOA,GDPCG,-2.518992126247601
51,LTU,GGFC,-2.5443864601344064
57,LTU,COC,-2.5803021731741076
70,CPI,LFG,-3.028345320138608
32,PDPS,GGFC,-3.101808358201952
39,PDPS,EPFRG,-3.4239535286796556
71,CPI,EPFRG,-3.7400311150917034
