GDPC,VABI,EMP,QOA,QOR,YUA,REST,EBSG,GGFC,LBGD,FDI,PC,ARP,CO2C,PAM,ROL,GE,COC,RQ,SSB,PT,EUPC
-0.9535438002287075,2.236930694423176,0.0,1.1714206045745819,-2.3867555162091434,-1.2001208733901387,-1.9007187369861376,-2.702926231209832,-2.8461856064374165,2.110672023135039,1.0943719278016464,-0.6375882775455538,-0.37592042668078246,0.79949128304273,0.1402994840063309,-1.1983302345989204,-0.7815555663002404,-1.2413095036175446,-1.632933482322277,-3.2110333031209746,-0.12912056282665077,-1.6328529249632804
-0.9117995760951827,1.7019510588727065,0.0,1.4565797005706052,-1.6074067762224833,-0.879507216756455,-1.5967982336488404,-1.425630141874611,-0.44360251533329237,-0.8220323979289327,0.048856972073121036,-0.4448290308457353,-0.32315966504137406,0.23827751935231484,1.0667482793598941,-0.7860015517261746,0.4524795383843493,-1.3330460027301576,-1.0273422570901756,-0.391868508206207,-0.03511278910350879,-1.4381833227541991
-1.3055917307288885,-0.44550240777354105,-1.433676031318652,0.8603379543971001,-0.8280580362358245,1.6754347723762162,-0.8337251038581869,0.8928208066192858,1.5418795311345501,-0.9429144743638399,0.3184795673352084,-0.41517376212268625,-0.21763814176255913,-0.6247702570098452,1.8167306375032548,-1.1983302345989204,-0.8638245732792131,-1.103704754948625,-1.0273422570901756,-0.2962680346321152,0.03859982690481375,0.3452461167543264
-1.2024445122525593,0.11961692555441922,-2.182804047683355,0.03078422059048188,0.27011518829083375,2.594084265217807,-0.549072287933422,1.2735662292886945,0.6218387631291712,-0.02283096960311156,1.0497581170748262,-0.5486224713764069,-2.2753078456994564,0.6297728236911673,2.231581560067591,-0.8890837224443616,-0.205672517447431,-1.1495730045049315,-1.0273422570901756,-0.2853289292822257,0.006062830171514189,0.6079798506613638
-0.8726215283065856,1.1142269522116295,-1.3045160284971518,-0.3839926463128272,0.12841541738416826,0.8415070229974121,-0.3782078901241759,1.1096564296955584,-0.5775674210654124,0.6185636697220664,-0.5951336871140225,-0.6375882775455538,-1.378374897829527,0.6612893873615093,1.0907415230156672,-0.5798372102898005,-0.2879415244264038,-0.8743635071670924,-1.0273422570901756,-0.3399174676928063,-0.0536253630783053,-0.8157411405562959
-0.6452594933937092,0.5717123922167858,-0.7620440166468522,-0.20252776704262893,-0.8280580362358245,0.5873417926090513,-0.36530217497049916,0.023895194119462403,-0.8339242050502238,0.2518571069776425,-0.03455145667702083,-0.7117264493531764,-1.378374897829527,0.41318419343596857,-1.079368795398529,-0.8890837224443616,-1.275169608174077,-0.6908905089418663,-0.8543161927381461,-0.3137591594597096,-1.4343892831937621,1.2774905589032266
-0.45990942789780337,0.6093870144386504,-0.5037240110038517,-1.0320815008492472,-0.8989079216891558,0.22852029088430678,-0.40710942124297367,0.19813678124539233,-0.47891602080478135,0.4758461555749872,-0.6901805012711612,-0.6375882775455538,-0.7980065197960421,1.050010783894687,-0.8181227125336772,-0.4767550395716135,-1.1106315942161316,-0.27807626293510873,-0.5947770962101018,-0.26371393549735833,-2.9010031855766414,1.3759620518022895
-0.2558927187354481,0.17989632110940038,-0.2712360059251498,-1.9653294513816915,-0.22583400988249705,-0.3894500731971974,-0.2664189490042972,0.43838087182385405,-0.4411910390986969,0.8720308127873099,-0.24792185580529139,-0.4300013964842108,0.8903378526650021,0.8617215001598304,0.19216175753757367,1.3787240333557527,-0.7815555663002404,0.2723427317405695,1.395022643838236,-0.23207160290019682,-0.3177747871121547,-0.11165927569870923
-0.15302656190352884,-0.566061198883506,0.16790800366795178,-2.094947222288975,0.27011518829083375,-0.4957675551897143,0.2528997579542299,0.5262858862938542,0.30141852494101135,0.3891818494512151,-2.1217019063317393,-0.029655268723049043,0.7848163293861872,0.3581680919789283,-0.5568766296688255,0.6571488383284436,-0.5347485453633221,0.08886973351534343,1.3085096116622212,0.40390819558091784,-0.27237718918317727,-1.471271677378964
0.03768388565248606,-0.4831770299954056,0.2454040053608512,-0.09883355031680165,0.8723392146441613,-0.5306529789685088,0.2974335637662144,0.43366611538623007,0.4047536165897387,0.21892752986162714,-0.7949259699341302,-0.17793161233829413,0.8375770910255936,0.24321381360981617,-0.6091258462417959,-0.4767550395716135,-0.4524795383843493,-0.048735015153576124,1.5680487081902654,0.9474251334364988,0.7099371091109017,-1.0359783529054338
0.3790452091303919,-0.5208516522172701,0.813708017775453,1.4565797005706052,0.8723392146441613,-0.8545890569144589,0.35305537837220313,0.634443060695218,-0.02837143330525595,0.1916771003235483,-0.3002945901367759,0.25206978414591663,0.4682517595497406,0.6075797111384303,-0.19113211365803334,0.14173798473750857,-0.2879415244264038,-0.18633976382249567,1.0489705151341768,0.9663588411620722,1.0318674816442106,-0.5830495196687037
0.7090646524579857,-0.43796748332916974,0.9428680205969533,0.1604019914977654,0.8723392146441613,-0.8712011634757895,0.43158029311006907,0.2005358159803893,-0.13454863140765097,-0.10775710198273261,-0.7347943119979813,0.48931193393030875,0.9430986143044086,1.0532392419888468,-0.8703719291066475,-0.3736728688534265,0.3702105314053765,1.0521029741977792,0.27035322555004593,0.9749127494699898,1.0927438968642889,0.1674084422986501
