FDI,QOR,QOA,EIAP,PDPS,PGP,VABI,GCFP,GGFC,GDPCG,EII,EBSG,GDPC,EIS,LBGD,EMP,LTU,FEM,LFG,EPFRG,GGAG,JI,FOP,DBD,PR,PT,EUPC
1.6513168911374598,-0.7280984729140814,-1.1185777577909728,1.7510303659890456,0.0,0.2853719077773827,-0.23269303606950872,2.422600737583456,-0.09714758340565591,1.1956078079708434,-0.6066608041003928,-1.538309416053524,-1.3234535789588493,-1.6853906535549152,0.72922879413239,0.0,0.0,-0.9833465829347511,-0.5568201404099139,-0.5569538202184542,0.33963654050771414,0.873049990744019,0.7479705146610685,2.0,-1.6807099122390479,-1.55497681263836,-1.8306868014736077
-0.5317205292397984,-1.593345688648543,-0.9564047743194191,1.3550558045172205,0.0,0.38609140463998837,-0.8192069899981428,2.0343769955777744,0.9246066235076857,0.11995739972060726,1.39074948599861,-2.036415470436703,-1.1352535810962032,-1.9020406022750875,-0.0754920825782054,0.0,0.0,-0.9833465829347511,1.3187845430760856,-0.22585502875213692,-0.3227484969190623,0.8958283027732148,0.901311004562464,2.0,-1.6807099122390479,-1.565232710029984,-1.6218390904669446
-0.20882753458592737,-1.396698594163438,-0.821260621426457,1.0002214572242853,2.82842712474619,0.48681090150259404,0.6343275914771658,-0.3085759089510709,1.1057324477899448,-0.6811766379972976,0.055015665888344015,-0.5508748688737807,-0.9779147517186534,-1.0927886056880671,-1.5318170100492277,-1.157587335004221,0.20220890233055153,-0.9833465829347511,1.9439861042380668,0.08271110627478147,-1.165408482171122,0.8958283027732148,0.901311004562464,2.0,-1.6807099122390479,-1.6505529487022013,-0.841056500259106
0.32464784788568546,-1.173831887080319,-1.0645200966337882,0.8819433414599747,0.0,-0.11750607967303996,0.30281970447402334,-0.24953387430560364,2.0872490239745654,-0.2777844868797189,-1.3281959415684557,-1.0652975744707907,-0.8471022201367633,-0.520314437496083,-1.5240874419630488,-1.2435619911849056,0.5953928790844011,-0.9833465829347511,1.2406343479308517,0.05227078713863169,2.1005874083809783,0.9015228807805137,0.8943409822942188,0.0,-0.8019073437480425,-1.390884027796121,-0.3888938405267842
0.06492956957713697,-1.042733824090249,-1.0645200966337882,0.8099479666469152,0.0,0.45323773588172545,1.1825906353669744,0.6214794096476208,-0.2946186454845774,0.48423722663041285,-0.6937439409731174,-1.0117582859708873,-0.6199238670402583,-0.6438774033718735,-0.4527048693645329,-1.1790809990493925,1.0672136511890207,-0.9428483967649809,0.06838142075209518,0.6720153525992054,-0.09851124594162354,0.9015228807805137,0.8943409822942188,0.0,0.07689522474296298,-0.350874350321987,0.28787239573096346
-1.3670306675835082,-0.662549441419046,-0.6320588073763115,0.64024458315899,0.0,0.3693048218295541,0.9785857818265802,-0.2827698995867029,-0.44847208070451267,-1.1351692846630537,-1.135651809259338,-0.48960182796983226,-0.5109039453127603,-0.31986994919601824,-0.09676838685440126,-1.0931063428687078,1.46039762794287,-0.8618520244254377,0.5372825916235812,1.4720018668995554,-0.39946124067450195,0.9015228807805137,0.8943409822942188,0.0,0.07689522474296298,-0.17696998593643778,0.4682689691627634
-2.2584961093452827,-0.09882777056174563,-0.36177050159038854,0.34197803036203056,0.0,0.2685853249669484,-0.9977112368459884,-1.2636749484205045,0.26771347614969504,-1.4720611634832699,-0.9222830053872224,0.1707912698747589,-0.4800271586255399,-0.06841350034636548,-0.40597405855686725,-1.0286253507331933,1.6963080139951798,-0.8416029313405534,-0.1660691646836617,-1.2888726667654042,-0.2825234812831972,0.8844391467586169,0.873430915489483,0.0,0.07689522474296298,0.46303235576755897,0.5694872875244812
0.261473131540363,0.5566625443886042,-0.0644533652258751,0.07970916497160088,0.0,0.2517987421565141,0.608826984784617,-0.2679283124494364,0.061458704989397914,-0.04309555264658513,-0.9189453757723723,-0.0757467776073388,-0.3421564059570176,0.21088216159094034,-0.05981029183488714,-0.6632330619652815,1.2244872418905601,-0.45687016272772785,0.45913239647834736,0.8356505663532888,-1.0084424064869146,0.8616608347294211,0.873430915489483,-0.6666666666666666,0.07689522474296298,0.4741454722642913,0.892183604338871
-0.12459457945883082,0.8975175081627863,0.0706907876670882,0.10027927206104592,0.0,0.2517987421565141,1.9476088361434496,-0.28291990817323,-0.6788513522139632,0.1778700942114005,-0.926569911332794,0.501054698467686,-0.15384392925696003,0.1894330318569802,0.38100816777480856,-0.36232176533288607,0.5167560837336311,-0.11263558028467528,-0.8694209209909045,0.96256565723483,0.5975093791317687,0.38901086012360936,0.8037306928070305,-0.6666666666666666,0.07689522474296298,0.4708211184232899,-0.4905143544869323
0.2404148927585886,1.1466038278439192,0.6923538909747092,-0.38826077131328374,0.0,0.30215849058781696,1.5395991290626656,-0.7015534936649916,-0.8644447844563763,-0.4484428928758345,0.635267375760334,0.8064232955274625,-0.04668787019969619,0.21080508821403207,0.31860992802495336,0.04605785152536868,-0.11233827907252804,0.21134990907349294,-0.08791896953840014,-1.2991223874130238,1.349097568592114,-0.12919573854059388,-0.729674206206924,-0.6666666666666666,0.9556977932339684,1.1475570773732724,-1.4332089863496453
