FDI,QOR,QOA,EIAP,PDPS,PGP,VABI,GCFP,GGFC,GDPCG,EII,EBSG,GDPC,EIS,LBGD,EMP,LTU,FEM,LFG,EPFRG,GGAG,DI,CFI,COC,CPI,VAA,EUPC
-0.6997111736991842,1.5081632235510711,1.4875760240971125,2.882428646026599,0.416516279510167,-0.39286973802255554,1.0125509118524652,0.14905162987360737,-1.7334163520605161,0.7291694058628301,2.4370873100018517,0.5739554963701408,-1.34436812226255,-2.5675264383252787,0.3154911788860437,7.146179475128373e-15,0.0,0.0,-0.10390812000783561,0.4569408579139749,-0.4292549498444703,0.0,0.0,-1.4675629339255727,-1.7529196424044293,-0.9660030816345824,-1.8855535314309766
-1.3402918256773106,1.4816684642184177,1.3780095180729626,1.121326657046148,0.416516279510167,-0.49186053815422304,0.35731068578008696,0.2400828713176196,-1.3911561338110345,0.009729223537004922,1.7410723755906203,0.048785008087029735,-1.2146410567784676,-1.5982812542167977,0.2390423711645151,7.146179475128373e-15,0.0,0.0,-0.4696647024354047,-0.43873000934866146,0.7636406646523445,1.5149709683686787,0.0,-1.0203056588244457,-0.674199862463242,-0.9660030816345824,-1.575684704277198
-0.5321746954895205,1.3491946675551485,1.2136597590367388,0.7544304093418869,0.02603226746938405,-0.5908513382858906,-3.230129551966161,-2.094999975417084,0.03315371646476685,-2.3847596957694366,1.0531773558146198,-0.8311492667101616,-1.4341565567932424,-0.9860226815765922,-0.8325062639375163,-2.0437979090318983,2.131268201673698,-2.022761763532725,-0.4031635056303814,-0.6674024782380009,-1.4988554371889438,0.0,0.0,-1.0203056588244457,0.40451991747794525,-1.20018564687933,0.6967000308003323
0.3055076955587988,1.1637313522265704,1.2136597590367388,0.6443615350306086,0.02603226746938405,-0.425866671399778,0.35731068578008696,-0.8555317089707138,-0.3309963323004035,1.2069690031300464,0.4413134059379059,-0.5402542492305575,-1.1227514141863892,-0.49389845038635205,-1.5138563269201444,-1.6415037687655145,1.7280552986543494,-1.623344772144036,-0.33666230882538173,-0.2895996545891155,1.8169899997174566,-1.3389192962035084,0.0,-0.5730483837233187,-0.674199862463242,-1.902733342613572,0.43641610138901604
0.37449330423336613,0.44837285024491563,0.7753937349401391,0.6076719102601824,-1.9263877927345308,-3.230606008463692,0.7668358270753212,0.5612934301909343,-0.7491291382599378,1.727435793937397,0.3482000908354496,-0.7579471389897575,-0.6664852042583996,-0.4214380725057988,0.19368671209691413,-0.9374890232993371,1.0560337936221023,-1.0242192850610023,-1.6001850481206117,1.0275111067556224,-0.47697840407330033,-1.5983638657100772,-2.2774652037888004,-1.2439342963750093,0.40451991747794525,-0.731820516389835,0.8475319514463684
-0.34492804337283717,0.2894042942489908,0.501477469879763,0.3141549120967743,-1.5359037806937477,0.13508119601300467,1.2091229796741736,-0.8975890531361452,-0.5723828575175406,-0.29541533025930095,0.29443884925560393,0.2684060221788914,-0.546408329315688,-0.30208096878720875,0.47355188224607675,-0.7363419531661488,0.6528208906027544,-0.8644524885055244,0.32834965922473314,0.3860195092261813,1.1591998148511764,-1.5983638657100772,-0.8390661277116612,0.5450948040294988,-0.674199862463242,0.20490974458914943,0.9339173153901168
-0.40405856509389504,0.07744621958775923,-0.2380964457832474,-0.08943096037791289,-1.5359037806937477,0.26706892952189476,0.11159560100294877,-0.6474713210528942,-0.269498330969143,-0.3601377399407276,-0.22735460985191203,0.03946154097996205,-0.39674937930522575,0.1971618046773324,0.5407242203570908,-0.4849081154996579,0.5184165895963049,-0.5449188953945743,0.926860430469872,-0.22427735974509513,1.2801678990714962,-1.792947292839995,-1.2816504588123243,0.09783752892837184,-1.7529196424044293,0.6732748750786443,1.8902048610529727
-1.7049300429571672,-0.2669856517367415,-0.6215792168677711,-0.1628102099187651,-1.1454197686529648,0.5145459298510636,0.2754056575210448,-0.3640797295800263,-0.30225064310164884,0.24962857703499036,0.11732923630179679,0.701920802612012,-0.13032821680732648,-0.044397843208113075,0.8303672152288057,-0.28376104536646235,0.24960798758340635,-0.2653270014224907,0.4281014544322799,0.26843937850694455,-0.9016828132895792,0.3474704055891482,-1.0603582932619926,0.3214661664789354,-0.674199862463242,1.3758225708128864,0.801911083037721
-0.34492804337283717,-0.6909018010592046,-0.5941875903617342,-0.30956870900046957,-0.3644517445713989,1.25697693083857,0.1279766066547607,-0.9320932144124134,-0.21394078912121509,-0.11207007426200456,-0.33849934471031795,1.464510223095596,0.05552346645737682,0.3298137346807451,0.8275033453073057,-0.13290074276656924,0.11520368657695683,-0.06561850572814616,0.32834965922473314,1.4478845143912913,0.8338715833056427,0.3474704055891482,0.15674861726481487,-0.3494197461727552,1.4832396974191326,0.9074574403233917,-0.11667666941898185
-0.5223196085360108,-1.008838913051052,-0.731145722891921,-0.6030857071638777,0.416516279510167,1.1579861307069026,0.6194067762090372,-0.7093740470999426,-0.03505330712584015,0.14792563434437797,-0.7264155899340261,1.330651774287246,0.26690963856388683,0.7016188536627034,0.862113245147023,0.16881986243321692,-0.422413517448841,0.29385678652167063,0.9601110288723718,-1.0006794927483091,0.7702403110005359,0.2826092632125089,1.0419172794661251,-0.3494197461727552,1.4832396974191326,-0.4976379511450876,-1.658276799486249
