FDI,QOR,QOA,EIAP,PDPS,PGP,VABI,GCFP,GGFC,GDPCG,EII,EBSG,GDPC,EIS,LBGD,EMP,LTU,FEM,LFG,EPFRG,GGAG,EC,DI,CFI,COC,CPI,EUPC
2.1142264124751615,-0.34602186020987097,0.06307332223883642,2.554634616456734,1.79447089309454,0.48500881597302,1.886073767924155,3.0255045800713143,-0.664314524100357,1.5467852131934563,2.381074646468361,-2.9900317208208125,-0.8763016791128468,-2.8086561373548347,1.0636309724107484,0.0,0.0,0.0,1.5756771943166632,-0.6585211483476752,1.0767904630149079,1.5654596581883378,6.254110236576676e-15,0.0,-0.36617725049631117,-0.8454889030309711,-1.8261065778580028
0.16792652193069205,-1.8264698190824789,1.429661970746939,0.10218538465826965,1.79447089309454,-0.03083871084221549,1.9685501185409418,1.8712110717892119,1.298510222435637,-0.8301683279087029,2.8019102636805964,-1.7206283010195256,-0.5655724698057885,-2.1925846727923166,-0.12028914281358304,0.0,0.0,0.0,1.0504514628777832,-0.646359018154493,-0.5863339990443127,1.5654596581883378,-0.20621541960181428,0.0,-1.0171590291564203,-0.4894935754389833,-1.5967396779477834
-1.6853231746435238,0.10950058867400915,0.6780382140674871,0.9749038049829486,1.121544308184087,-1.3765279112297855,0.7588969761614025,-0.5036267098968539,0.24505985195604257,-2.961712952848349,0.022537686923826662,0.37844331495321676,-1.2511867735948312,-0.390622814261285,-1.836413688714886,-1.3648589090203556,-0.005924892207750205,-1.1433475109494664,-2.100902925755555,-0.7879695637701579,-1.5510334901600287,1.5654596581883378,6.254110236576676e-15,0.0,-1.194699514245541,-1.3794818944189529,-0.39836751213423766
-0.6772794066324441,-0.34602186020987097,0.40472048436586655,0.8202448444190809,1.121544308184087,-2.340938504840878,0.15407040497163296,-0.8969858715235152,-0.48759581001249047,-0.7028945489890481,-0.6749520091946537,0.361382575444113,-1.3108064117525915,0.20339933533127263,-1.9827390150709803,-1.9417049384931104,1.943364644142074,-1.683208055748539,-1.575677194316675,-0.5431615372083836,2.639516335501,0.7684568067998563,-1.473685803495951,0.0,-1.194699514245541,-1.7354772220109407,-0.1909802200195836
0.7572444170756308,-0.4029621663203547,-1.4401741911200732,1.140609834158521,0.44861772327363386,-1.757806518006264,0.667256586587197,0.1111708573662989,-0.052322307868510436,0.4371320692623432,-0.7661523408669246,-0.38431425889573134,-1.0379571830363892,0.1548788768980579,-0.35456736803293093,-1.4129294114764193,1.9848388895963263,-1.4402708105889586,-1.0504514628777832,0.16621577930682233,-1.2476551434064438,0.7684568067998563,-1.473685803495951,-1.2551756095554376,-0.7212582206745525,-1.9134748858069346,0.06528222182414901
0.08650760220672024,-0.06132032965744462,-0.756879866866025,0.5551151977381655,0.44861772327363386,-0.4569736242982793,0.667256586587197,0.4329665203500659,-1.2370613815778453,1.082263130994703,-0.4535488541005697,-0.2756621005132537,-0.6804042309136888,0.1351366148239529,0.6550665796939847,-0.9802948893718499,1.4871479441453066,-1.1433475109494664,1.0504514628777832,1.8170142230526976,-0.2873208083591248,0.3932062807776275,-1.473685803495951,1.6290577060187545,-0.957978867460047,-0.6674912392349772,1.0231918894276963
-0.14611788271891357,-0.9723652274252048,0.06307332223883642,0.2126560707753182,-0.22430886163681932,-0.0756950175218012,0.11741424914195074,-0.14354624021538226,-0.9631734064965276,0.13598422633251073,-0.20903326149141307,-0.08489543690664172,-0.5053393011746274,0.0811844098820292,0.7471371079560276,-0.5957308697233478,0.5332402986975203,-0.7924381568300701,-0.5252257314388916,1.895526192220566,-0.005768241947524472,-0.2322112625929088,-1.473685803495951,0.907999377125208,-0.4845375738890584,0.04449941594899848,0.637859028188189
-0.12285533422635017,-0.459902472430841,-0.21024440746278406,-0.40597977148015096,-0.22430886163681932,0.21587097589550594,-0.9822704257485385,-0.2526381831452926,-0.7695022015374701,0.11263086433383918,-0.24987851944539155,0.21846248898217444,-0.33462242258599406,0.34615394597971855,0.5294987619786347,-0.331343106215003,0.035549353246501235,-0.5495009116704861,0.0,1.515128476574406,0.031335584633849216,-0.2322112625929088,1.554160113584481,0.7477641929266395,0.04808388137830348,0.4004947435409863,1.0816258616008962
-0.26243062518173055,0.7927842619998293,-0.07358554261197077,0.08009124743486053,-0.22430886163681932,0.48500881597302,-0.8356458024298064,-0.3417023440830009,-0.562743074308956,0.3862276323903832,-0.3609161617315148,0.5371049306768472,-0.14604455252609513,0.24738936582275806,0.3924055119778825,0.12532666711759627,-0.04739913766200164,0.017352660368538435,0.5252257314388916,0.5515505973086309,0.247410810019496,-1.7688274212349446,0.7795948789825087,1.0281757652741315,0.1664442047710507,0.4004947435409863,0.5841382282959476
-0.9796925370357679,0.16644089478449545,-1.9184802180979106,-0.1960854678577594,-0.8972354465472725,0.2831554359148843,-1.3946521788324715,-0.7547134363934954,-0.7807089304521453,0.18768868344453224,-0.10335778390167213,0.8568753714454872,0.015933180926475336,0.15389195117662333,0.9492217937079007,0.24550292325775364,-0.25477036493325955,0.34126898724798266,0.0,-0.3183427543304535,-0.20874799912798053,-1.1329862521416405,0.3571047510177944,0.5474702126784318,-0.011096280318069807,0.7564900711329742,-1.5065559043471635
