,UR,URFF,YUA,FDI,QOR,QOA,EIAP,PDPS,P65,P014,PGP,VABI,GCFP,GGFC,GDPCG,EII,EBSG,GDPC,EIS,LBGD,EMP,LTU,FEM,LFG,EPFRG,GGAG,ROL,GE,COC,VAA,CPI,EUPC
0,3.8,4.2,7.49,3.69,6.42,6.45,2.96,137.0,15.46,18.53,0.44,22.06,25.231367727118,24.2779391801677,0.540321532272571,23.5068039283613,2.74729987567765,319173.149269478,73.5293731776617,5.54853641996053,76.41428571428571,1.257142857142857,73.05714285714286,0.0,1099.0,-4900.0,2.0,2.35,2.43,1.48,94.0,1866582.4175824176
1,3.68,4.07,9.47,0.62,6.23,6.44,2.71,137.0,15.74,18.37,0.59,22.61,24.0357328016323,24.9864493189355,-1.00055940971312,23.2551790441135,3.47152728769529,329422.223702727,74.0389585676471,3.83561918698261,76.41428571428571,1.257142857142857,73.05714285714286,-0.010000000000000231,-207.0,-3557.0,1.95,2.24,2.38,1.54,93.0,2784574.134790528
2,6.41,5.67,13.44,1.17,6.06,6.43,2.76,138.0,16.1,18.19,0.54,19.85,19.0326255602397,27.8156943528533,-5.48158280998165,20.5708950422794,4.60296285298569,313144.896656675,76.6697935831861,-2.11144188536374,76.1,0.6,73.1,-0.009999999999999787,-25.799999999999272,-2932.0,1.92,2.23,2.44,1.54,93.0,6041840.398550726
3,7.75,6.76,15.55,-3.57,6.17,6.37,2.54,139.0,16.56,17.99,0.44,19.37,17.8221551141916,27.3361076692926,1.13266938250023,19.8658913270997,6.79383283936203,326784.316443459,77.5903815740482,-2.44106694235995,74.9,1.4,72.0,-0.020000000000000018,2364.1799999999985,251.0,1.9,2.1,2.35,1.54,93.0,7495644.864864865
4,7.77,7.62,16.31,3.94,6.29,6.32,2.39,139.0,17.08,17.78,0.41,19.85,18.9874945831856,26.5405591973408,0.894526404293345,20.0348603114118,6.15432402017224,331838.652834933,77.5706387884112,-1.88701179271688,74.8,1.8,71.4,0.0,1755.6800000000003,-5488.0,1.92,2.1,2.39,1.55,94.0,16993113.82405745
5,7.8,7.79,15.77,-5.0,5.73,5.97,2.64,140.0,17.6,17.56,0.38,19.85,19.2269717517509,26.5003228378334,-0.380977125445526,19.7687405038075,5.7994047065436,338534.135302201,77.5940931091425,-3.25795140995828,74.3,2.1,71.1,-0.010000000000000231,656.380000000001,-5127.0,1.88,1.99,2.38,1.67,90.0,6354829.338103757
6,7.38,7.67,14.77,0.2,5.45,5.64,2.59,140.0,18.05,17.33,0.42,19.73,19.3525146403367,25.9285043343491,0.970845909690212,19.6412360652166,6.22900522298097,344715.698783173,77.7651693961291,-1.1817281111622,74.3,1.8,71.2,-0.029999999999999805,1134.2799999999988,1404.0,1.9,1.94,2.4,1.67,91.0,8319060.784313725
7,6.93,7.14,14.2,1.86,5.43,5.56,2.48,141.0,18.42,17.11,0.51,19.4,20.1482030437865,25.7974203785069,0.765766155124069,19.3701337554958,6.45594827782968,350893.947080478,78.1496494918549,1.25210753887521,74.7,1.7,71.0,0.020000000000000018,2013.960000000001,-4198.0,2.1,1.78,2.25,1.52,92.0,23835000.177304965
8,6.28,6.53,12.15,0.61,5.59,5.58,2.49,142.0,18.7,16.92,0.71,19.56,20.5435311718122,25.5463558237146,1.38566632188861,19.4244575201056,6.49828069287248,357211.575190776,78.0839557517272,-1.14367709346369,75.4,1.6,71.5,0.029999999999999805,950.3899999999994,-2024.0,2.02,1.79,2.19,1.55,91.0,12745287.323943663
