,GDPC,GDPCG,VABI,EMP,PAG,QOA,QOR,YUA,GGAG,REST,CO2,EBSG,FDI,GGFC,LBGD,PC,ARP,ROL,GE,COC,RQ,SSB,PT,EUPC
0,49142.8950373487,3.07547528252388,30.67,68.2,-415.0,4.3,4.0,17.59,10799.0,11.396,316.728,2.94695491864777,3.82,17.8215503011855,-2.65076957705417,0.2,17.3,0.59,0.65,0.76,0.91,82.711079712512,79.141239486985,73.86109425862523
1,52583.1507430738,5.13933542172569,28.81,70.0,-337.0,4.5,4.1,14.76,13375.0,11.059,330.2221,2.81915991097917,2.38,17.5668407420539,-1.58580874944162,0.1,15.0,0.4,0.55,0.7,0.81,82.752840150967,79.105835731116,122.15492570450355
2,56553.0253655389,6.24607110540019,28.86,71.4,283.0,4.8,4.1,11.68,-1790.0,14.936,329.6329,2.02268871994476,3.35,17.4696531502565,0.0711030565932835,-0.1,14.8,0.38,0.55,0.62,0.87,82.780110350102,79.495815659327,252.36862046352383
3,60948.2431077183,4.60600727341085,28.83,72.6,-320.0,4.8,4.3,9.83,-17545.0,15.377,312.0707,3.64475314497549,3.15,17.8183081676231,-0.525642748761954,-0.4,15.4,0.39,0.51,0.61,1.01,82.848011937395,76.490761458316,280.2082627337372
4,62984.456554085,-0.861202002378917,28.57,72.8,123.0,3.65,4.1,10.83,-16997.0,16.102,296.8799,5.60867980950599,3.31,18.8371621590167,-7.0279473310229,-23.6,14.8,0.52,0.32,0.62,0.85,82.75753136316895,76.831745719469,322.25585895522386
5,71968.7885521538,8.47171799983406,28.49,75.5,-633.0,3.65,4.1,11.81,-2918.3571428571427,15.604,324.0123,3.20166912265857,5.44,18.523151073936,-2.30300903469373,-5.0,14.8,0.43,0.25,0.55,0.83,82.72657301401887,76.51657212502941,373.49147214710655
6,84212.4582403731,5.7122759744731,29.18,76.7,81.33333333333333,3.65,4.1,10.55,-2918.3571428571427,16.644,307.9616,1.68369963074641,6.01,18.1191286260219,-3.0056919876808,-3.7,13.7,0.43,0.26,0.51,0.72,82.72657301401887,76.51657212502941,309.9679217273221
