,UR,URFF,YUA,FDI,QOR,QOA,EIAP,PDPS,P65,P014,PGP,VABI,GCFP,GGFC,GDPCG,EII,EBSG,GDPC,EIS,LBGD,EMP,LTU,FEM,LFG,EPFRG,GGAG,PMSI,JI,DWCP,PR,DBPG,EUPC
0,4.59,3.76,10.1,13.51,3.78,4.99,4.78,32.0,17.37,14.85,-0.46,26.84,40.0058943445447,15.8991591535824,8.06276601408268,35.127995824508,-8.79001141495789,12234.2117432944,60.0955265186228,3.16909422251199,76.05,3.1142857142857143,73.84285714285714,0.0,8.799999999999997,3732.0,56.666666666667,0.955,86.112980032212,90,0.0,55095408.95522388
1,5.45,5.14,12.03,8.12,4.0,5.1,3.9,32.0,17.44,14.89,-0.27,26.13,31.6334055843093,18.436466577074,-4.87057915292706,35.2671203523308,-3.90433868093249,12429.172307025,60.8311626733615,-2.02540212897082,76.05,3.1142857142857143,73.84285714285714,0.010000000000000009,44.91,-2269.0,56.666666666667,0.955,86.252844664939,90,0.0,84791864.92537312
2,13.55,10.3,27.41,9.51,4.22,4.87,4.05,31.0,17.43,15.04,-0.19,23.28,21.0087753498274,20.5332841041619,-14.4654981470721,31.4417826849072,4.96376377299993,10590.0210938056,64.5036232614054,-2.23951218400766,70.5,3.7,69.9,-0.010000000000000009,340.12,-3519.0,56.666666666667,0.955,85.403987314869,90,0.0,356850436.0902255
3,16.71,14.09,32.94,13.28,4.53,4.55,4.22,31.0,17.44,15.24,-0.23,24.03,21.5876781655604,19.5616522470917,2.68366165094633,30.3176545462856,6.42011954334372,11071.7557595899,65.4653530100529,-0.609831956361266,67.6,7.5,67.4,-0.009999999999999898,507.33000000000004,4528.0,56.666666666667,0.955,85.415456162343,80,0.0,396929938.34586465
4,12.33,11.58,22.39,4.8,4.49,4.39,4.41,31.0,17.57,15.43,-0.3,25.35,25.4681664047184,18.2949896179378,7.93414724975237,32.4345082478468,5.79316261033648,12612.1479028415,63.1530927766645,0.5262259736181,71.0,7.0,68.6,0.009999999999999898,132.90999999999985,-34.0,56.666666666667,0.955,85.358224094379,80,0.0,179744166.91729322
5,10.02,9.1,20.86,7.69,4.22,4.46,4.49,31.0,17.86,15.59,-0.36,24.63,29.0805066900785,18.0242576821827,4.04377186018716,31.1035343521871,1.64011297007905,13674.0105058154,64.4032814805666,-0.123295979074848,73.1,5.4,71.1,-0.009999999999999898,285.0600000000002,-1474.0,56.666666666667,0.955,85.37481212339,80,0.0,499062449.2424242
6,8.63,8.15,18.7,4.31,4.2,4.14,4.26,30.0,18.2,15.74,-0.36,24.68,26.8697121064814,18.3991728743446,2.1192820000981,30.2735559376613,2.30658911328679,14539.6620781383,65.4644274337664,0.273440319119464,74.1,3.8,71.6,0.0,-239.99,1866.0,56.666666666667,0.955,85.428312905258,85,0.0,514084077.27272725
7,7.35,6.81,14.98,6.59,4.39,3.78,3.86,30.0,18.56,15.89,-0.26,24.11,26.727615908803,18.4390132763221,3.59411590769302,30.1481611712244,3.22552561724243,15492.4936004473,65.9935748877204,0.975174780192855,75.0,3.3,71.9,0.0,169.82999999999993,-1231.0,56.666666666667,0.955,85.462140099944,90,0.0,287150438.16793895
8,6.41,6.32,14.34,-3.07,4.53,3.73,4.03,30.0,18.89,16.01,0.07,23.12,24.6409611018289,19.2232645126562,1.77141701957223,31.2664876670294,3.56176334314333,15972.9156071087,64.7017933884945,0.119937832223631,76.7,2.4,73.7,0.0,173.77999999999997,-3206.0,56.666666666667,0.955,85.64030111695489,90,0.0,68734454.54545455
