,GDPC,VABI,EMP,QOA,QOR,YUA,REST,EBSG,GGFC,LBGD,FDI,PC,ARP,CO2C,PAM,ROL,GE,COC,RQ,SSB,PT,EUPC
0,41650.0,30.67,73.89285714285714,6.31,5.64,16.43,29.561,4.79474390432965,20.7683137405845,5.292982428004,8.57,4.4,13.0,1.2867466918714556e-05,341.02079395085065,1.9,1.97,2.39,1.55,91.08103535503,68.824462388074,6.033897542533081
1,41780.0,29.57,73.89285714285714,6.43,5.84,16.34,31.071,3.61590297189747,21.5662048977365,4.56981359361245,6.79,4.9,13.6,1.1267024482109227e-05,338.79472693032017,1.91,2.04,2.32,1.61,92.303566773602,68.78340112357,9.016756308851225
2,38230.0,25.66,72.6,6.33,5.89,21.38,31.045,2.03868269733403,24.0691116185655,-1.86040113351858,-3.48,4.7,13.8,1.068928838951311e-05,338.2022471910112,1.96,2.23,2.24,1.81,92.332121844368,68.78340112357,34.47842771535581
3,39260.0,26.19,71.9,6.15,5.86,21.29,32.166,1.36489021881826,23.6857350901157,-2.3694239079018,4.9,4.4,13.1,1.2284869402985076e-05,322.94776119402985,1.96,2.22,2.15,1.87,92.345579557218,76.827451041144,27.5596375
4,40010.0,25.04,72.7,6.16,5.83,19.93,32.532,-0.781159090334168,23.4018871265589,-0.48873036351218,-2.18,4.8,13.7,1.080191094619666e-05,306.12244897959187,1.94,2.24,2.19,1.81,92.292540582451,80.247713378744,44.80113246753247
5,39210.0,23.36,73.0,6.2,6.09,18.87,34.222,-1.56055055944265,24.1763067801854,-1.10441266007246,1.92,4.7,13.2,9.672218114602588e-06,313.86321626617377,1.94,2.21,2.23,1.82,92.33382730086,88.839006200865,40.733724768946395
6,38650.0,23.3,72.5,6.22,6.1,19.82,36.63,-0.984781102424114,24.6357440158823,-1.8250883305405,-1.83,4.5,11.8,9.803547794117648e-06,293.38235294117646,1.96,2.18,2.2,1.84,92.363759796074,88.088290767932,61.528148713235296
7,38300.0,23.06,72.2,6.17,5.87,20.45,38.633,-1.01576352286804,24.6314153166064,-2.26761555463797,6.42,3.8,12.8,9.055238095238096e-06,259.8901098901099,2.12,2.03,2.16,1.88,92.362865848926,88.454135134356,39.40499065934066
8,38350.0,23.3,71.8,6.05,5.78,22.3,39.23,-0.398683108776737,24.5228172337672,-1.81072543198599,7.54,2.8,12.4,8.389744525547446e-06,235.21897810218977,2.05,1.84,2.22,1.83,92.360985897353,88.355974815561,16.873910401459852
9,39230.0,23.48,72.4,6.2,5.7,20.06,38.943,-1.05554963215695,23.868772512134,-1.29846048294757,2.19,2.9,11.6,8.874018181818181e-06,229.0909090909091,2.01,1.84,2.19,1.81,92.372939383773,90.3095435282,18.148198363636364
10,40430.0,24.47,73.2,6.3,5.4,20.04,40.857,0.393847961336146,22.9490979324095,-0.443690867177556,6.66,1.8,11.5,8.36223230490018e-06,252.26860254083485,2.02,1.98,2.16,1.81,92.39359896538,90.234946351183,38.082225771324865
11,40860.0,24.11,75.3,6.2,5.3,16.96,41.185,-0.845173670252905,23.0551303335418,-0.0068993769000237,-3.84,0.9,12.0,8.594057971014493e-06,251.268115942029,2.03,2.01,2.17,1.78,92.410229387835,90.135734727373,33.548519202898554
12,41370.0,24.15,76.2,6.3,5.3,17.13,42.807,0.672485933975633,23.318575537276,0.316118699636925,6.1,1.3,11.6,7.996594202898551e-06,239.31159420289856,2.01,1.97,2.11,1.84,92.431873861911,90.641568800953,28.72008713768116
13,40270.0,24.23,75.5,6.232307692307692,5.3,21.19,43.939,0.244091257133429,24.4205476612504,-5.5028406807481,-0.94,1.5,12.2,7.138155515370705e-06,287.1609403254973,2.02,1.9,2.17,1.85,93.46642516898,90.897459634658,26.44799294755877
14,41270.0,24.23,76.8,6.232307692307692,5.3,17.06,42.819,0.0542683024874982,24.7953884002508,-2.32228135903909,8.01,2.6,10.8,7.09610108303249e-06,281.0469314079422,2.01,1.92,2.24,1.89,92.34652498026865,83.53022064401307,40.92856913357401
15,41470.0,25.18,78.4,6.232307692307692,5.3,14.14,47.74,-1.99297349089748,24.1490221128375,-0.0319386777387416,4.67,2.8,12.7,6.676942446043166e-06,279.31654676258995,1.96,1.75,2.25,1.78,92.34652498026865,83.53022064401307,32.630810791366905
