,UR,URFF,YUA,FDI,QOR,QOA,EIAP,PDPS,P65,P014,PGP,VABI,GCFP,GGFC,GDPCG,EII,EBSG,GDPC,EIS,LBGD,EMP,LTU,FEM,LFG,EPFRG,GGAG,DI,GE,CPI,RQ,VAA,EUPC
0,6.16,6.47,19.26,9.42,5.65,6.03,2.25,22.0,17.44,16.9,0.74,25.02,24.0777971777253,24.2058106650331,2.46227556573524,21.645743396424,5.90006313117971,362059.214096229,76.1030677805696,3.21419524653314,79.7,0.8,76.5,0.07000000000000028,1920.2399999999998,-2007.0,9.73,2.02,93.0,1.57,1.51,3554298.3606557376
1,6.24,6.57,20.21,8.05,5.63,6.02,2.12,23.0,17.65,16.73,0.78,24.15,23.9607192334419,24.7854514107036,-1.69196627962823,21.3243106454624,5.21871440958121,367898.323979567,76.5533219233872,2.03223041791757,80.0,0.8,76.7,0.0600000000000005,1074.4400000000005,-1243.0,9.88,1.95,93.0,1.64,1.52,5290970.932754881
2,8.35,8.01,25.02,2.06,5.69,6.04,2.18,23.0,17.94,16.63,0.85,22.33,20.4599610547174,26.1321161403318,-5.0677602986202,20.1597666073885,4.95880000637757,357492.674905617,77.6625509613407,-0.614954013821875,77.9,1.1,75.1,0.009999999999999787,1618.1800000000003,-3953.0,9.73,2.04,92.0,1.65,1.55,19503994.40860215
3,8.61,8.52,24.76,0.13,5.71,6.2,2.1,23.0,18.28,16.6,0.85,23.86,22.4215415830525,25.1877852115046,4.853016846231,19.9027832500321,4.66145445443106,378703.698372148,77.9966974637761,-0.240938344618138,77.7,1.5,74.4,0.03000000000000025,1729.8099999999995,5519.0,9.5,1.96,92.0,1.66,1.54,18684230.170575693
4,7.8,7.76,22.78,1.22,5.66,6.25,1.99,23.0,18.64,16.66,0.76,23.73,23.2369592707907,25.0924805018307,2.38780216832662,19.9243290461797,4.4363919040929,392078.684224813,78.0856831032244,0.0153313170492073,79.0,1.4,76.0,0.05999999999999961,1966.6099999999988,-3806.0,9.5,1.93,93.0,1.89,1.61,33708494.920634925
5,7.98,7.71,23.61,0.78,5.58,5.97,2.06,23.0,18.98,16.79,0.74,23.11,21.99343162272,25.8785848991761,-1.14844474316958,19.6432947465808,4.36792793257211,391255.979647401,78.2978718810421,-0.914025783780533,79.1,1.4,76.4,0.03000000000000025,1723.0,-2826.0,9.73,1.91,88.0,1.9,1.69,11559979.096638655
6,8.05,7.89,23.52,0.25,5.52,5.73,2.03,24.0,19.27,16.97,0.85,21.98,21.8990358460486,26.3182806595753,0.284348039029453,19.1595026205861,3.83117555507315,396337.89457687,78.8071986112411,-1.37135564471324,79.4,1.4,76.7,0.05999999999999961,1949.8700000000026,-1789.0,9.73,1.79,89.0,1.9,1.66,26080147.604166668
7,7.95,7.7,22.82,-1.05,5.5,5.67,1.97,24.0,19.52,17.16,0.99,21.61,22.8641392361599,26.2754867127366,1.28578393801952,18.6045586378898,3.09333516328122,408791.051256638,79.4211391198259,-1.12925276819564,79.6,1.3,77.2,0.040000000000000036,650.5599999999977,-1307.0,9.73,1.68,87.0,1.81,1.61,35538469.07216495
8,7.43,7.29,20.36,1.95,5.36,5.6,2.04,24.0,19.7,17.34,1.06,22.28,23.788437157721,25.8927700038637,3.31186786503675,18.2878779282714,3.25986088481229,431846.583991772,79.6760149978224,0.37774015211219,80.1,1.3,77.9,0.04999999999999982,5207.32,-20.0,9.45,1.68,89.0,1.8,1.57,8000893.163265306
