,GDPC,VABI,EMP,QOA,QOR,YUA,REST,EBSG,GGFC,LBGD,FDI,PC,ARP,CO2C,PAM,EUPC
0,9775.52270687285,22.75,71.97857142857141,5.39,3.11,10.56,29.615,-20.1080256950857,18.600884165274,0.134662511755947,9.22,-7.7,21.2,4.051954545454546e-06,63.18181818181818,44.68537727272727
1,10725.0516919408,22.84,71.97857142857141,5.59,2.85,13.65,29.811,-13.2990985612257,20.7010687057421,-3.17271093805637,4.2,-13.3,25.9,3.8893119266055045e-06,94.4954128440367,69.40879770642202
2,8629.94561717987,21.52,66.3,5.48,3.19,33.43,34.317,-2.03993109801727,19.5738971708732,-7.96683909476035,-0.58,-19.8,26.4,3.6223831775700935e-06,112.14953271028035,198.58113644859813
3,8447.75941512857,20.86,63.9,5.44,3.11,36.24,30.375,-2.13144285098343,18.7899697736523,-8.37561033971345,2.02,-21.9,20.9,4.228523809523809e-06,84.76190476190476,220.93537857142857
4,9281.53443034914,21.42,66.1,5.17,3.1,31.07,33.478,-6.13127090388476,19.2557040077919,-3.82718548578614,5.72,-14.5,19.0,3.996796116504854e-06,83.98058252427184,248.55786504854368
5,10374.1478106433,21.42,67.9,5.27,3.16,28.56,35.709,-5.54847380579697,17.988056098072,-1.00669407779239,3.99,-10.3,19.2,3.954384236453202e-06,95.07389162561576,351.81079064039415
6,10909.1127256792,20.82,69.5,5.39,3.0,23.24,37.037,-4.5252243865774,18.2811109375838,-0.749487855203313,3.39,-11.1,19.4,3.870348258706468e-06,111.9402985074627,310.27582487562194
7,11430.7908286864,19.62,70.6,5.35,3.09,19.59,38.629,-2.89804899013866,18.4883353835292,-1.35747759867541,3.45,-7.7,21.2,3.805979899497488e-06,51.75879396984924,358.10937889447234
8,12007.0487027484,19.78,72.5,5.37,3.31,16.32,37.538,-1.18888929085733,18.7095636533339,-1.74045831618358,3.09,-8.7,22.5,3.862626262626262e-06,68.68686868686869,304.48526868686866
9,12502.0216510329,19.17,73.0,5.1,3.2,17.27,37.138,0.52632085966897,18.476344400199,-0.184948478200865,1.24,-9.6,21.8,3.816632653061224e-06,48.46938775510204,79.1296918367347
10,13395.3686655875,19.78,74.6,5.2,3.0,16.97,39.008,-0.434094800932671,18.6703159549355,0.0314177644819213,4.05,-8.1,22.1,3.830979381443299e-06,46.39175257731959,97.75100154639176
11,14608.6668873698,19.35,76.8,5.5,3.5,12.19,40.019,-0.4944581733751,18.5352676047473,-0.633989952845199,1.32,-7.5,23.3,4.200984455958549e-06,44.55958549222798,279.6606025906736
12,15449.1906770849,19.6,77.3,5.7,3.6,12.41,40.929,-0.217945675315532,19.8089011462475,-0.746683777634397,3.37,-6.4,22.9,4.14020942408377e-06,42.93193717277487,381.18241937172775
13,15377.597609828,20.33,76.9,5.380769230769231,3.170769230769231,14.87,42.132,1.43528647695722,20.8896933172828,-3.93479886970929,2.81,-7.6,21.6,3.830052631578948e-06,48.94736842105264,311.5265421052632
14,17131.3082054031,21.09,75.3,5.380769230769231,3.170769230769231,14.78,42.112,-3.1740615000493,21.7309999551168,-6.94122580878775,9.78,-9.3,23.4,4.005531914893617e-06,55.319148936170215,300.4080627659574
15,19208.2587742892,20.72,77.0,5.380769230769231,3.170769230769231,15.27,43.786,-4.88832932706458,20.4868935800669,-4.91475061756096,3.2,3.9,22.5,3.684468085106383e-06,75.99290780141845,307.8295430851064
