,GDPC,GDPCG,VABI,EMP,PAG,QOA,QOR,YUA,GGAG,REST,CO2,EBSG,FDI,GGFC,LBGD,PC,ARP,ROL,GE,COC,RQ,SSB,PT,EUPC
0,443685.809403023,1.07180853741224,21.96,80.8,-6.0,5.7,5.3,18.9,-483.0,52.597,42.49,2.55709409521179,3.01,26.4390383062153,1.57611228664384,14.5,16.2,1.95,1.66,2.11,1.84,94.612285829081,85.281397543646,4.79176622983871
1,455661.623564358,0.462320334605963,22.16,81.4,-40.0,5.8,5.5,17.88,-427.0,53.39,41.8362,1.86722095822586,4.53,26.2619555666305,1.66182730742736,12.4,15.8,1.82,1.68,2.1,1.79,94.64026781946,85.279350963147,12.322941451292246
2,470977.219742012,0.726062663192167,22.19,82.0,-154.0,5.8,5.6,17.4,-2637.0,53.916,39.6483,1.65219412665417,-0.13,26.255213056628,1.47361576731311,10.8,16.4,1.78,1.67,2.11,1.83,94.668856948905,85.279350963147,21.532173182711198
3,489687.55080195,1.51533066980507,22.29,81.7,-36.0,5.7,5.3,20.09,-927.0,55.785,39.4951,3.96134415349493,2.98,25.8359933747139,1.4715176073316,9.5,17.1,1.79,1.67,2.09,1.79,93.089837759894,85.279350963147,17.05522519455253
4,484957.369732694,-2.71099580072043,21.81,80.2,-38.0,5.8853846153846145,5.3,23.9,-1333.0,60.124,38.0388,4.1891041944418,3.4,26.5311658405992,-2.99437679272843,5.0,16.1,1.77,1.67,2.09,1.68,93.111728425739,85.283435803298,19.839044444444443
5,524671.194590608,5.30316369991182,23.06,80.4,7.0,5.8853846153846145,5.3,24.6,-1231.357142857143,62.527,40.4785,4.32130573502491,9.1,25.7524415924533,-0.653958113596722,7.0,15.7,1.7,1.61,2.1,1.75,94.0245953566158,85.28057724727701,19.179013915547024
6,559287.117186985,0.771118404155686,24.02,82.0,-45.0,5.8853846153846145,5.3,21.61,-1231.357142857143,66.287,37.7526,1.90554099417736,9.3,25.3239653270786,0.754005269375646,6.6,16.0,1.69,1.57,2.06,1.68,94.0245953566158,85.28057724727701,22.25380428979981
