Country,Code,ContinentCode,Year,Oil consumption thousand barrels per day,Industry value added billion USD,Happiness Index 0 (unhappy) - 10 (happy)
Spain,ESP,EU,2011,1385,325.59,
Spain,ESP,EU,2012,1301,276.84,
Spain,ESP,EU,2013,1208,272.82,6.32
Spain,ESP,EU,2014,1200,274.25,
Spain,ESP,EU,2015,,240.3,6.33
Spain,ESP,EU,2016,,246.04,6.36
Spain,ESP,EU,2017,,263.09,6.4
Spain,ESP,EU,2018,,282.59,6.31
Spain,ESP,EU,2019,,280.39,6.35
Spain,ESP,EU,2020,,259.5,6.49
Spain,ESP,EU,2021,,296.87,6.48
Spain,ESP,EU,2022,,302.77,6.44
Spain,ESP,EU,2023,,325.9,6.34
Spain,ESP,EU,2024,,335.98,6.42
Sweden,SWE,EU,2000,362,68.35,
Sweden,SWE,EU,2001,369,62.27,
Sweden,SWE,EU,2002,373,68.06,
Sweden,SWE,EU,2003,370,83.17,
Sweden,SWE,EU,2004,368,95.16,
Sweden,SWE,EU,2005,360,96.29,
Sweden,SWE,EU,2006,354,104.97,
Sweden,SWE,EU,2007,350,122.63,
Sweden,SWE,EU,2008,337,124.26,
Sweden,SWE,EU,2009,318,97,
Sweden,SWE,EU,2010,336,117.57,
Sweden,SWE,EU,2011,315,135.41,
Sweden,SWE,EU,2012,300,127.02,
Sweden,SWE,EU,2013,297,128.42,7.48
Sweden,SWE,EU,2014,305,124.84,
Sweden,SWE,EU,2015,,111.8,7.36
Sweden,SWE,EU,2016,,112.9,7.29
Sweden,SWE,EU,2017,,118.82,7.28
Sweden,SWE,EU,2018,,122.31,7.31
Sweden,SWE,EU,2019,,118.63,7.34
Sweden,SWE,EU,2020,,118.91,7.36
Sweden,SWE,EU,2021,,146.91,7.38
Sweden,SWE,EU,2022,,139.32,7.4
Sweden,SWE,EU,2023,,136.04,7.43
Sweden,SWE,EU,2024,,137.68,7.34
