"Country","NUTS1_ID","NUTS2 code+name","NUTS2_ID","NUTS2_name","Fund","Year","Programming_Period","EU_Payment_annual","Modelled_annual_expenditure","Standard_Deviation_of_annual_expenditure","Standard_Error_of_modelled_annual_expenditure"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ESF","2015","2007-2013","0","5,635,638","343,830","10,872"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ESF","2017","2007-2013","3,689,137","0","0","0"
"DE","DE1","DE12 Karlsruhe","DE12","Karlsruhe","ESF","2020","2007-2013","3,499,702","0","0","0"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ERDF","2007","2007-2013","597,615","1,026,943","37,781","1,194"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ERDF","2008","2007-2013","896,422","824,868","6,296","199"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ERDF","2009","2007-2013","747,018","1,520,299","326,596","10,327"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ERDF","2010","2007-2013","2,029,392","2,198,661","582,185","18,410"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ERDF","2011","2007-2013","1,401,956","3,450,545","468,224","14,806"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ERDF","2012","2007-2013","4,875,589","5,276,654","302,185","9,555"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ERDF","2013","2007-2013","5,067,963","5,223,230","262,113","8,288"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ERDF","2014","2007-2013","4,964,728","5,513,612","800,792","25,323"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ERDF","2015","2007-2013","7,268,026","4,845,940","391,967","12,395"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ERDF","2016","2007-2013","538,005","0","0","0"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ERDF","2017","2007-2013","1,494,037","0","0","0"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ESF","2007","2007-2013","2,021,459","2,675,817","145,079","4,587"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ESF","2008","2007-2013","3,032,188","5,869,559","629,080","19,893"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ESF","2009","2007-2013","16,180,089","15,808,766","82,326","2,603"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ESF","2010","2007-2013","14,459,442","12,533,776","426,944","13,501"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ESF","2011","2007-2013","5,536,227","7,392,319","411,518","13,013"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ESF","2012","2007-2013","14,137,046","17,999,951","856,454","27,083"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ESF","2013","2007-2013","32,037,099","26,647,255","1,194,995","37,789"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ESF","2014","2007-2013","7,061,462","6,664,464","88,019","2,783"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ESF","2015","2007-2013","0","4,094,943","249,846","7,900"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ESF","2017","2007-2013","2,690,166","0","0","0"
"DE","DE1","DE13 Freiburg","DE13","Freiburg","ESF","2020","2007-2013","2,531,670","0","0","0"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ERDF","2007","2007-2013","598,182","1,027,918","37,817","1,195"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ERDF","2008","2007-2013","897,273","825,651","6,302","199"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ERDF","2009","2007-2013","747,728","1,521,742","326,906","10,337"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ERDF","2010","2007-2013","2,031,319","2,200,749","582,738","18,427"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ERDF","2011","2007-2013","1,403,288","3,453,821","468,669","14,820"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ERDF","2012","2007-2013","4,880,218","5,281,665","302,472","9,565"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ERDF","2013","2007-2013","5,072,776","5,228,191","262,362","8,296"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ERDF","2014","2007-2013","4,969,442","5,518,848","801,552","25,347"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ERDF","2015","2007-2013","7,274,928","4,850,542","392,339","12,406"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ERDF","2016","2007-2013","538,516","0","0","0"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ERDF","2017","2007-2013","1,495,456","0","0","0"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ESF","2007","2007-2013","1,969,138","2,604,986","141,437","4,472"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ESF","2008","2007-2013","2,953,708","5,719,826","615,291","19,457"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ESF","2009","2007-2013","15,803,173","15,436,064","81,659","2,582"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ESF","2010","2007-2013","14,097,841","12,216,023","418,588","13,236"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ESF","2011","2007-2013","5,356,220","7,171,039","403,685","12,765"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ESF","2012","2007-2013","13,786,607","17,541,234","835,173","26,410"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ESF","2013","2007-2013","31,227,996","25,976,212","1,168,198","36,941"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ESF","2014","2007-2013","6,831,863","6,453,768","84,102","2,659"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ESF","2015","2007-2013","0","3,982,890","243,038","7,685"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ESF","2017","2007-2013","2,636,213","0","0","0"
"DE","DE1","DE14 Tübingen","DE14","Tübingen","ESF","2020","2007-2013","2,439,285","0","0","0"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ERDF","2007","2007-2013","867,418","1,500,035","72,054","2,278"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ERDF","2008","2007-2013","1,753,437","1,852,751","11,311","357"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ERDF","2009","2007-2013","2,028,709","2,973,928","107,660","3,404"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ERDF","2010","2007-2013","4,648,589","5,154,784","57,655","1,823"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ERDF","2011","2007-2013","6,051,618","5,966,879","571,278","18,065"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ERDF","2012","2007-2013","4,705,915","6,051,101","320,212","10,125"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ERDF","2013","2007-2013","7,674,783","7,131,645","245,392","7,759"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ERDF","2014","2007-2013","5,446,485","6,223,675","685,067","21,663"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ERDF","2015","2007-2013","8,025,404","6,516,103","418,905","13,246"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ERDF","2018","2007-2013","2,168,545","0","0","0"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ESF","2007","2007-2013","2,532,623","3,669,450","163,322","5,164"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ESF","2008","2007-2013","3,798,935","6,142,883","336,743","10,648"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ESF","2009","2007-2013","11,631,710","13,391,885","252,875","7,996"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ESF","2010","2007-2013","17,513,690","15,945,978","225,225","7,122"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ESF","2011","2007-2013","12,274,862","14,180,271","273,741","8,656"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ESF","2012","2007-2013","18,642,170","22,403,768","1,002,273","31,694"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ESF","2013","2007-2013","28,422,545","24,761,424","548,502","17,345"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ESF","2014","2007-2013","16,696,033","15,103,628","726,440","22,972"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ESF","2015","2007-2013","7,050,827","9,569,873","587,119","18,566"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ESF","2017","2007-2013","3,049,665","0","0","0"
"DE","DE2","DE21 Oberbayern","DE21","Oberbayern","ESF","2020","2007-2013","3,556,096","0","0","0"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ERDF","2007","2007-2013","2,373,851","4,105,128","197,191","6,235"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ERDF","2008","2007-2013","4,798,608","5,070,401","30,957","978"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ERDF","2009","2007-2013","5,551,942","8,138,712","294,631","9,317"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ERDF","2010","2007-2013","12,721,736","14,107,032","157,784","4,989"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ERDF","2011","2007-2013","16,561,387","16,329,481","1,563,409","49,439"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ERDF","2012","2007-2013","12,878,618","16,559,971","876,320","27,711"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ERDF","2013","2007-2013","21,003,480","19,517,082","671,563","21,236"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ERDF","2014","2007-2013","14,905,327","17,032,254","1,874,815","59,286"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ERDF","2015","2007-2013","21,963,022","17,832,537","1,146,412","36,252"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ERDF","2018","2007-2013","5,934,630","0","0","0"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ESF","2007","2007-2013","1,516,862","2,195,185","97,930","3,096"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ESF","2008","2007-2013","2,275,293","3,670,935","201,490","6,371"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ESF","2009","2007-2013","6,956,679","7,992,657","149,565","4,729"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ESF","2010","2007-2013","10,431,650","9,534,269","129,555","4,096"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ESF","2011","2007-2013","7,421,575","8,503,046","156,132","4,937"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ESF","2012","2007-2013","11,049,141","13,391,480","609,286","19,267"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ESF","2013","2007-2013","17,225,016","14,983,256","341,229","10,790"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ESF","2014","2007-2013","10,060,390","9,031,851","426,013","13,471"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ESF","2015","2007-2013","4,030,406","5,570,422","341,592","10,802"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ESF","2017","2007-2013","1,743,255","0","0","0"
"DE","DE2","DE22 Niederbayern","DE22","Niederbayern","ESF","2020","2007-2013","2,162,834","0","0","0"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ERDF","2007","2007-2013","3,226,964","5,580,424","268,058","8,476"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ERDF","2008","2007-2013","6,523,126","6,892,596","42,082","1,330"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ERDF","2009","2007-2013","7,547,194","11,063,593","400,516","12,665"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ERDF","2010","2007-2013","17,293,660","19,176,802","214,489","6,782"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ERDF","2011","2007-2013","22,513,198","22,197,950","2,125,265","67,206"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ERDF","2012","2007-2013","17,506,920","22,511,273","1,191,251","37,670"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ERDF","2013","2007-2013","28,551,684","26,531,107","912,908","28,868"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ERDF","2014","2007-2013","20,261,986","23,153,285","2,548,584","80,593"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ERDF","2015","2007-2013","29,856,064","24,241,171","1,558,408","49,281"
"DE","DE2","DE23 Oberpfalz","DE23","Oberpfalz","ERDF","2018","2007-2013","8,067,410","0","0","0"
